"","form","nvars","sing","loglik","mfR2","accuracy","AIC","BIC","xtime"
"524184","nxt ~ currentd + tord + pct + pcr + pc + relt + sc + scsq + int + comp + time + prog + rule + lrn2 | grp + trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.099"
"524185","nxt ~ currentd + tord + pct + pcr + pc + relt + sc + lrn + int + comp + time + prog + rule + lrn2 | grp + trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.096"
"524186","nxt ~ currentd + tord + pct + pcr + pc + relt + scsq + lrn + int + comp + time + prog + rule + lrn2 | grp + trial + blkt","17","FALSE","-2167.66787581929","0.261524699848947","0.471502590673575","4387.33575163859","4534.51097364287","0.807"
"524187","nxt ~ currentd + tord + pct + pcr + pc + sc + scsq + lrn + int + comp + time + prog + rule + lrn2 | grp + trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.097"
"524188","nxt ~ currentd + tord + pct + pcr + pval + relt + sc + scsq + lrn + int + comp + time + prog + rule + lrn2 | grp + trial","17","FALSE","-2157.98849612212","0.264822245061885","0.472915685350918","4363.97699224424","4499.83104332512","0.995"
"524189","nxt ~ currentd + tord + pct + pcr + pval + relt + sc + scsq + lrn + int + comp + time + prog + rule + lrn2 | grp + blkt","17","FALSE","-2158.5463334433","0.264632202533788","0.476683937823834","4365.0926668866","4500.94671796748","0.752"
"524190","nxt ~ currentd + tord + pct + pcr + pval + relt + sc + scsq + lrn + int + comp + time + prog + rule + lrn2 | trial + blkt","17","FALSE","-2158.12363517866","0.264776206249181","0.47621290626472","4364.24727035731","4500.10132143819","0.919"
"524191","nxt ~ currentd + tord + pct + pcr + pval + relt + sc + scsq + lrn + int + comp + time + prog + rule | grp + trial + blkt","17","FALSE","-2158.40278238135","0.264681107126021","0.472444653791804","4368.8055647627","4515.98078676698","0.913"
"524192","nxt ~ currentd + tord + pct + pcr + pval + relt + sc + scsq + lrn + int + comp + time + prog + lrn2 | grp + trial + blkt","17","FALSE","-2158.04202829214","0.264804007865235","0.47197362223269","4368.08405658428","4515.25927858856","0.959"
"524193","nxt ~ currentd + tord + pct + pcr + pval + relt + sc + scsq + lrn + int + comp + time + rule + lrn2 | grp + trial + blkt","17","FALSE","-2158.4467428266","0.264666130798991","0.478097032501178","4368.89348565319","4516.06870765748","0.959"
"524194","nxt ~ currentd + tord + pct + pcr + pval + relt + sc + scsq + lrn + int + comp + prog + rule + lrn2 | grp + trial + blkt","17","FALSE","-2219.74281888007","0.243783947385831","0.450777202072539","4491.48563776015","4638.66085976443","0.807"
"524195","nxt ~ currentd + tord + pct + pcr + pval + relt + sc + scsq + lrn + int + time + prog + rule + lrn2 | grp + trial + blkt","17","FALSE","-2157.60824000727","0.264951789699086","0.475741874705605","4367.21648001455","4514.39170201883","0.843"
"524196","nxt ~ currentd + tord + pct + pcr + pval + relt + sc + scsq + lrn + comp + time + prog + rule + lrn2 | grp + trial + blkt","17","FALSE","-2159.60554009639","0.264271354841304","0.48469147432878","4371.21108019278","4518.38630219706","0.856"
"524197","nxt ~ currentd + tord + pct + pcr + pval + relt + sc + scsq + int + comp + time + prog + rule + lrn2 | grp + trial + blkt","17","FALSE","-2158.59640463218","0.264615144414947","0.47197362223269","4369.19280926435","4516.36803126864","0.819"
